conjunto,metrica,iteracao,valor
learn,Logloss,460,0.0042156901118958
learn,Logloss,461,0.004214232106935566
learn,Logloss,462,0.004213465961483278
learn,Logloss,463,0.00421036058522896
learn,Logloss,464,0.004209131941210661
learn,Logloss,465,0.004208015064331955
learn,Logloss,466,0.004207239451583145
learn,Logloss,467,0.004205925693015956
learn,Logloss,468,0.004204465466834086
learn,Logloss,469,0.004203057563366307
learn,Logloss,470,0.0042021125272514726
learn,Logloss,471,0.0041901892943144075
learn,Logloss,472,0.004189319833263577
learn,Logloss,473,0.004188120181859675
learn,Logloss,474,0.004186882411476066
learn,Logloss,475,0.004184113906416281
learn,Logloss,476,0.00418110464342047
learn,Logloss,477,0.004177344449442328
learn,Logloss,478,0.004176552140043827
learn,Logloss,479,0.004165817805559624
learn,Logloss,480,0.004161035614517246
learn,Logloss,481,0.00415027026886377
learn,Logloss,482,0.0041461792971869025
learn,Logloss,483,0.004141692276871659
learn,Logloss,484,0.004139983936435629
learn,Logloss,485,0.0041386159318238195
learn,Logloss,486,0.004136558607954
learn,Logloss,487,0.004133500714480741
learn,Logloss,488,0.004129861090427314
learn,Logloss,489,0.004110820841250592
learn,Logloss,490,0.004109042723498205
learn,Logloss,491,0.004104291144005989
learn,Logloss,492,0.0041021948598609905
learn,Logloss,493,0.004099436771924363
learn,Logloss,494,0.004096360790108682
learn,Logloss,495,0.004091161590890233
learn,Logloss,496,0.00408884559287609
learn,Logloss,497,0.004083703770738547
learn,Logloss,498,0.004079799324324396
learn,Logloss,499,0.004076902088449581
learn,Logloss,500,0.004076015734507501
learn,Logloss,501,0.00407468488895832
learn,Logloss,502,0.0040704219028547635
learn,Logloss,503,0.004068870073726913
learn,Logloss,504,0.004064252612726462
learn,Logloss,505,0.004059456548106069
learn,Logloss,506,0.004053067875261986
learn,Logloss,507,0.004049610954056
learn,Logloss,508,0.004045710479324116
learn,Logloss,509,0.004042135004243879
learn,Logloss,510,0.004037509822002037
learn,Logloss,511,0.0040366479831042855
learn,Logloss,512,0.004035168304581682
learn,Logloss,513,0.004029509308698707
learn,Logloss,514,0.004026238045551061
learn,Logloss,515,0.004024823853158067
learn,Logloss,516,0.004022485327435088
learn,Logloss,517,0.004020484182916594
learn,Logloss,518,0.004017371707485691
learn,Logloss,519,0.004014690142281849
